nome,preco,categoria,descricao
Calabresa,35.0,pizza,
Calabresa c/pimenta,35.0,pizza,
Portuguesa,35.0,pizza,
Marguerita,35.0,pizza,
Frango c/catupiry,35.0,pizza,
Moda da casa,35.0,pizza,
Palmito,35.0,pizza,
Palmito c/milho,35.0,pizza,
Frango,35.0,pizza,
Frango c/palmito,35.0,pizza,
Frango c/milho,35.0,pizza,
Frango c/chegar,35.0,pizza,
Frango c/bacon,35.0,pizza,
Bacon,35.0,pizza,
4 queijos,35.0,pizza,
Atum,35.0,pizza,
Presunto,35.0,pizza,
Lombo canadense,35.0,pizza,
Calabresa c/tomate,35.0,pizza,
Pizza vegetariana,35.0,pizza,
Carne-seca,35.0,pizza,
Banana c/canela,35.0,pizza,
Chocolate,35.0,pizza,
Chocolate c/banana,35.0,pizza,
Goiabada,35.0,pizza,
Prestígio,35.0,pizza,
Coca-Cola 2L,12.0,bebida,
Coca-Cola ZERO 2L,12.0,bebida,
Fanta laranja 2L,12.0,bebida,
Sprite 2L,12.0,bebida,
"Fanta laranja 1,5L",10.0,bebida,
"Coca-Cola 1,5L",10.0,bebida,
"Coca-Cola 1,5L ZERO",10.0,bebida,
"Guaraná antártica 1,5L",10.0,bebida,
"Kuat 1,5L",8.0,bebida,
